,v
0,"[0, 0.0070718488048349595, 0.00723983211316438, 0.007439047795380448, 0.0076880509161300955, 0.008023756142401469, 0.008519860012616632, 0.009296054694780316, 0.010413519297619115, 0.011685933495130337, 0.012126952999952832, 0.012465187219759907, 0.012812056929094793, 0.013166309055686911, 0.013526191876121182, 0.013887688202605858, 0.014229616905117638, 0.014553044478799834, 0.014888828771319808, 0.015244661929971495, 0.015591259059790454, 0.016301139888530713, 0.01751325510603062, 0.019058739661374512, 0.01990771934114429, 0.02007020904111477, 0.020036793504902034, 0.020514154620977495, 0.015154199184015064, 0.022038735260329265, 0.008892095026781942, 0.02395048052195876, 0.009673357997828542, 0.018672875487241482, 0.0152785186533532, 0.013398480627786367, 0.01580568634723981, 0.010367694790172896, 0.00881827142704718, 0.015358410867283427, 0.020852401668022696, 0.01700901269420727, 0.021709437571693416, 0.012087979208962332, 0.004848508879886926, 0.015369520102367746, 0.021284237797995265, 0.009558982493778422, 0.007154947459471867, 0.013096700780713835, 0.02071489604740339, 0.008581548506632258, 0.008074586587651231, 0.012776648279305412, 0.018061012257531327, 0.00977706648626762, 0.007640907377443006, 0.014550904981010054, 0.02026744808300977, 0.008699294126244152]"
1,"[0, 0.00874490440049931, 0.008628268984081158, 0.008530419749937833, 0.008459843027088035, 0.008444287819515747, 0.00854116139705569, 0.008834599246732838, 0.009325942779431651, 0.009790476026063975, 0.009431937729569585, 0.008984969874491485, 0.00855248278892603, 0.008136545459193772, 0.007740186268187834, 0.007370356369840204, 0.007052187763256796, 0.006776885344343574, 0.0065389951688049975, 0.006376259827768037, 0.006371719202525281, 0.006451785656812257, 0.006746414609521213, 0.007050630839699265, 0.007344605661939511, 0.007018482129601229, 0.007389420232057546, 0.005957205403907463, 0.00788965017065682, 0.0027099891691543866, 0.015550835059517244, 0.0060003373892816925, 0.016064959263695198, 0.010931508522953935, 0.019777555853098497, 0.009135933275293188, 0.013381432810558487, 0.00785043064166557, 0.003358581558308771, 0.01578828216467714, 0.018135270401692844, 0.01287802304790323, 0.014996482451541383, 0.009946315398903652, 0.004597004336020675, 0.01139362460884714, 0.018143716048861055, 0.008327716520737228, 0.0019116058238018692, 0.01054254645936568, 0.017175775968643055, 0.008033919619072375, 0.0031767113934302424, 0.010442484031017921, 0.016218164975202683, 0.008687961794526348, 0.004867144126099525, 0.012583944045175821, 0.017696077019103064, 0.008003302076317635]"
2,"[0, 0.008133053640509195, 0.008251412492835812, 0.008399426782376446, 0.008595527938514388, 0.008876879324980566, 0.009318014745969461, 0.010037334571836642, 0.011079103357577934, 0.012213697111993653, 0.012395029780606193, 0.012400897559442833, 0.012316118496635315, 0.012113117411031467, 0.011854341621240602, 0.011651750337907423, 0.011534995434346067, 0.011489606828022317, 0.011501674274621367, 0.011576494008101075, 0.011763754889570337, 0.0122118825260401, 0.013092798895633011, 0.014129638181170225, 0.014933254994578524, 0.014884920817038048, 0.015414345746541734, 0.015032313681237879, 0.013074863421378456, 0.013769817314625772, 0.012254447099527242, 0.013892581322850624, 0.011388015412148322, 0.014172151452410905, 0.011620361993717732, 0.006808441774889153, 0.009257069816100817, 0.005295714766599539, 0.008062650589484252, 0.012472948156431516, 0.017565156247889655, 0.009963514758043449, 0.00863714251499431, 0.008203262784766067, 0.0013434313272579351, 0.009203967080934168, 0.01648477601985745, 0.006877491459690096, 0.0028009415343501747, 0.00908131775386558, 0.01595531826416917, 0.006475421475690618, 0.002557590516936728, 0.008870747905698917, 0.015103532454275894, 0.00620337220467038, 0.004274413308622238, 0.009275979699850771, 0.01373291395273657, 0.007716188158774622]"
3,"[0, 0.012672720039468939, 0.012850482145603226, 0.013072861920079453, 0.013368346986424046, 0.013794460352252383, 0.01446649958632419, 0.01556723712561939, 0.01716391512265317, 0.01890182469535487, 0.019174930949259955, 0.01921918304504054, 0.019220382278747075, 0.019176828278275448, 0.019083857746621635, 0.018932047698700518, 0.018705056585432013, 0.018398293591465085, 0.018035247700887654, 0.017704851333850444, 0.01756634407270399, 0.01786940529600999, 0.018822410744850318, 0.019969462670073736, 0.02070309418557562, 0.020185616465645994, 0.020316314798442654, 0.019199406388696723, 0.01590405442943599, 0.016230294708070855, 0.013084436126094952, 0.014633569693930482, 0.00908354948172257, 0.013184337874265345, 0.008907085934972966, 0.00889033932483019, 0.009581824042244053, 0.007919897636026367, 0.0034272881990943115, 0.016261442883433543, 0.018281970509835162, 0.012970251028497855, 0.015039658287249647, 0.009959342902191757, 0.004440009050792012, 0.011478776272614117, 0.018102273954726286, 0.008471649069610673, 0.002347926894528617, 0.011399969795019036, 0.017117042735800343, 0.008167533494798918, 0.0039802119486627065, 0.01071284331574327, 0.01630108908700363, 0.00869091868848326, 0.004408549476288449, 0.01257347450275116, 0.017669504183289594, 0.008054322627008911]"
4,"[0, 0.0029134617793262264, 0.0028243200086171152, 0.002737092232271316, 0.002655774432215299, 0.0025880080996813215, 0.002548201782110047, 0.0025551547175867413, 0.0025996122244122486, 0.0026106331146508637, 0.0023838677128734066, 0.002136760722917234, 0.0018975337404396851, 0.0016704317004535938, 0.0014647612448101743, 0.001296689689726211, 0.0011908056116939287, 0.001144190010711822, 0.0011600945537219786, 0.0012359711478845251, 0.0013578856692792272, 0.0015453032735433477, 0.0018390486605635982, 0.0022264603373885247, 0.002658852553727228, 0.003047685372031216, 0.0036284052306365918, 0.004369337417302511, 0.004343463069388185, 0.005418180768351419, 0.005163110779912022, 0.0076300019290901485, 0.0070059103856832715, 0.008513704567179814, 0.008086639041129506, 0.005334081544059305, 0.006966834633957174, 0.0067355589885462145, 0.004636585646803077, 0.009008045840529461, 0.01762110673121639, 0.008027277209378621, 0.014672721129729728, 0.005743284903713678, 0.0015785103193206214, 0.009911128405430453, 0.01494009011926506, 0.007703761278735105, 0.001147589839119061, 0.010649526873644793, 0.013361364696126369, 0.0074687913516896225, 0.006668939844535486, 0.010926429530893412, 0.013246375547830713, 0.008070059856917437, 0.004478906778684595, 0.010340177216429011, 0.013117317275291569, 0.007973282319232042]"
5,"[0, 0.021120275297104685, 0.02112647751715436, 0.021123200856045368, 0.021107721946120445, 0.02108123231305056, 0.021061806399044418, 0.021116996448197183, 0.02138192257218075, 0.021910396787267677, 0.021167208857160103, 0.020471787273901698, 0.019808999572647566, 0.019104585523471915, 0.01834012375489947, 0.017510469191768192, 0.0166114029301063, 0.01564260704709164, 0.01419850873355757, 0.009377594255431146, 0.010396419523728936, 0.008975414832950966, 0.013420946412216684, 0.007431291417741161, 0.015378314748920709, 0.006727255836020379, 0.019058117540296484, 0.007462416298951905, 0.023018650930870712, 0.013246534142914192, 0.02349899865916151, 0.018186184540386504, 0.02474616974876989, 0.01346809691393929, 0.027286771614387785, 0.020517297626740892, 0.020479677307277774, 0.020000039237600957, 0.020003928430746328, 0.026561533088599272, 0.02140287206167034, 0.02769124101609742, 0.023618308369149663, 0.02168700377705966, 0.02132592327352248, 0.022019208337775282, 0.020778697642401575, 0.02201651153525201, 0.02225215210190173, 0.019851645028896126, 0.020216106732120997, 0.02008830709853546, 0.0208545993614075, 0.02174969732666766, 0.019569320911480764, 0.020647991322675488, 0.021084316365200702, 0.020753154467459855, 0.020264086404132662, 0.02088676529127612]"
6,"[0, 0.006874095172092104, 0.0070096359047785075, 0.007170585021938968, 0.0073742083837991055, 0.007655189824766645, 0.008082376972710617, 0.008765824414614168, 0.009756444426396739, 0.010870241999352253, 0.011187041493757504, 0.011395273562333533, 0.011598525889644325, 0.011796248488522744, 0.011988462474061023, 0.012175970241670584, 0.012354406897464424, 0.012519630422250301, 0.012693314502012432, 0.012895656891279028, 0.0131369918039724, 0.013632585905927261, 0.014530985133841228, 0.01561896244356699, 0.01626097649997526, 0.016126441073591687, 0.016536407219888694, 0.016320593583189866, 0.013949813602332984, 0.015919761491717137, 0.013095377588128345, 0.01896235409238327, 0.013101042255234629, 0.022606692058823746, 0.01657910042533853, 0.014212388453947343, 0.015465918754256385, 0.010601162805522974, 0.0020923483310652823, 0.018671738230412835, 0.02010787051626928, 0.018615329549800656, 0.02224079626730437, 0.016673861968136163, 0.019296012959740528, 0.016991952027924417, 0.02166422796155629, 0.011627178249730866, 0.01135823207139409, 0.02113921055304195, 0.020038978074775733, 0.012838677543619316, 0.01764311553659769, 0.018278768042838782, 0.02117496788482726, 0.010260694260109955, 0.009404267269966139, 0.017283410681255464, 0.01935866755870238, 0.011205985849246118]"
7,"[0, 0.006896343125992266, 0.007071388057100743, 0.007303072137732085, 0.0076587016997888575, 0.008240616841460005, 0.009197373512219772, 0.010679861487992699, 0.012586424787077631, 0.014405463938071435, 0.014890471013526752, 0.015109072562166965, 0.015291423131868494, 0.015461120538900862, 0.0156255226028099, 0.015789630566130978, 0.015957184363511547, 0.01612662020726917, 0.01631944915157464, 0.01656661380436445, 0.01692935108418381, 0.01763436345509439, 0.018914126968773103, 0.020367093143582655, 0.021266394540728803, 0.020903217762598365, 0.017712117275918617, 0.01782230550266757, 0.009986833493904172, 0.022333640073560125, 0.009172792046946944, 0.02318554524351067, 0.009394594837271415, 0.013793261006400999, 0.013993976990296612, 0.013195632758556047, 0.015345577827336539, 0.00986535163485898, 0.006771677589425251, 0.01478433260976375, 0.020482357272142263, 0.016768998566170305, 0.021689508495789118, 0.012266520948828234, 0.008650542835542119, 0.015117378377105002, 0.020503888339840855, 0.009874467303031013, 0.006695842932328473, 0.0157334326090229, 0.019328356226398502, 0.009378036771760443, 0.010779708506490994, 0.01738707886488594, 0.017593427762675508, 0.01005539064555299, 0.01101697698850053, 0.015057364762900287, 0.02113650732937822, 0.008484864762810589]"
8,"[0, 0.0013506982106677753, 0.0014197705777221337, 0.001503441677212342, 0.0016047434280581359, 0.0017312835985243914, 0.0019000032344556475, 0.0021406187244277963, 0.002472190455818422, 0.002853773437207823, 0.0030368218333140812, 0.0031850117726795768, 0.003325556925167718, 0.0034584763161390774, 0.0035836371210632312, 0.003700714019396945, 0.0038069893741499924, 0.003905005623000976, 0.0040019673749547525, 0.0041039806821654415, 0.004222964319053989, 0.00443325226557352, 0.004791100019367209, 0.00521115062149107, 0.0055149488437934826, 0.005516529363635387, 0.005683019079855514, 0.005528224099024176, 0.0047445832854343195, 0.004959607442697656, 0.0043282605630404125, 0.0048727813324242406, 0.0038529276108220894, 0.004778253784249057, 0.0036896529153064616, 0.0022911311153140193, 0.0031083707111528185, 0.0017616795579058389, 0.0029259993397230647, 0.003395408481028472, 0.003239251778323928, 0.002378892652882476, 0.0036083716679529924, 0.0018139915951222731, 0.0032456103080193074, 0.0029380259454696066, 0.0029005719293257503, 0.0016978126909679538, 0.003181515771044717, 0.0035042303046936476, 0.002888191268044541, 0.0015638749509645368, 0.003012028041493168, 0.0032448225552078017, 0.002725600979883686, 0.0016341788456041284, 0.002961574428758716, 0.0029218889411579815, 0.0027285722465919208, 0.0015615683989516182]"
9,"[0, 0.0017211474645932824, 0.0018662232769760187, 0.0020560915851543676, 0.0022841962051760698, 0.0025600849883081374, 0.0029120033552117765, 0.0033929291769228057, 0.004044228000644302, 0.004808189708794882, 0.005258119747939064, 0.00564704526657574, 0.006021577952499759, 0.006381992856920533, 0.006726861831311653, 0.007052135094307167, 0.007337269912708648, 0.007589017185693953, 0.007831845974644747, 0.008064896520957127, 0.008263805521314112, 0.008675329780412347, 0.009365513429263669, 0.010247394166385851, 0.0107551897914462, 0.010875171002756059, 0.010996950694898396, 0.011125532074937283, 0.00900562949874311, 0.010707307210164668, 0.0075475971464843946, 0.011801623409004208, 0.0057949701822541215, 0.01292742130804711, 0.005693580028698413, 0.010153321351600244, 0.010222969256630233, 0.009025962132450889, 0.004994215801167317, 0.01030732975779816, 0.019371510904129023, 0.010170152203871219, 0.0162602326068815, 0.0070325418800353135, 0.0031396065861188684, 0.012379277534242481, 0.015048345946926394, 0.009872364146084162, 0.00916771615023064, 0.013045954794952588, 0.016419395270278362, 0.00740308100632926, 0.003141053521810759, 0.010119152732375075, 0.013509892344056706, 0.009009452106051035, 0.007476375323983756, 0.011767198769171039, 0.015599887662904021, 0.008055825547586094]"
10,"[0, 0.005151009317977218, 0.005061512408157646, 0.0050362901892256045, 0.005142920606090554, 0.005457411087573202, 0.006035920202270858, 0.0069242467837548624, 0.008127686601592509, 0.009465548207923773, 0.010074670816728182, 0.01050255542248583, 0.01087797926061618, 0.011231716721640762, 0.011584493040196856, 0.011949402730592753, 0.012336783999840312, 0.012743013948659045, 0.013137862012268799, 0.013538215436436159, 0.014027247887393018, 0.014636202805266566, 0.01585273202795316, 0.017079394020537254, 0.018813998475932445, 0.01734635859391834, 0.020653707050660598, 0.01771352797140653, 0.017675490540531157, 0.01612952242286929, 0.01660483256333489, 0.01554417912207003, 0.015623908049473919, 0.015016364770648945, 0.015811432612906042, 0.00828645499211121, 0.011968549135832455, 0.007665147765497627, 0.007833647874983815, 0.013277840881366892, 0.01630721452957519, 0.010924747768027605, 0.012862588098469768, 0.008880836361500215, 0.0037081791668006855, 0.009334038926802771, 0.016730854553544085, 0.006535082380203163, 0.0049232990376665, 0.007758587606043859, 0.016109535282069556, 0.006457946677281505, 0.001979256471527766, 0.008981988755078843, 0.015126751271770333, 0.0063877719932846945, 0.0038623153070893954, 0.00940645560206965, 0.013870817429848989, 0.007755582863362693]"
11,"[0, 0.004283580848296409, 0.004523494539011927, 0.0047900983448682976, 0.005095131808130287, 0.005463598740246032, 0.005948188246081995, 0.006638648078191245, 0.007587355753712311, 0.008659034709890294, 0.009097437032588349, 0.009414210329894729, 0.00969599454759504, 0.009948696613141026, 0.010178376734578883, 0.010390673688875496, 0.010589664851049407, 0.01078680937414763, 0.010995443512932353, 0.011236394051052333, 0.011564043696792623, 0.01214011344683772, 0.013141891599364493, 0.014310154685002973, 0.015224212707163197, 0.0152724116257852, 0.01584367839899332, 0.015455978702072229, 0.013380879110681386, 0.014005576629422478, 0.012329173167228435, 0.013907543490278902, 0.011054759679045586, 0.013802824192101378, 0.010654659250513987, 0.0066890263045205536, 0.009082844514699413, 0.005180708441420914, 0.00862140438119074, 0.010035422207041766, 0.009725918328422593, 0.007079585415677688, 0.010855041610546099, 0.00543916731208207, 0.009769429651009954, 0.00886468216276993, 0.008791795095189379, 0.005130156604134084, 0.009665321770057193, 0.010674827680065578, 0.009038328663457804, 0.00478945330282652, 0.00925149270574453, 0.009993230717794838, 0.008694781402853008, 0.005079870669147367, 0.009048901491378885, 0.009013082067864607, 0.009723335135599644, 0.005276704326403257]"
